"Label","Location","Function Signature","Function Size"
"luaL_newmetatable","141a17f00","thunk undefined luaL_newmetatable()","5"
"luaL_newstate","14c9aa1fe","undefined luaL_newstate()","37"
"luaL_open_foxmath","1432edae0","undefined luaL_open_foxmath()","133"
"luaL_open_foxmath","1400d9550","thunk undefined luaL_open_foxmath()","5"
"luaL_openlibs","14c9a5860","undefined luaL_openlibs(lua_State * L)","96"
"luaL_openlibs","141a16d10","thunk undefined luaL_openlibs(lua_State * L)","5"
"luaL_optinteger","14c9aa940","undefined luaL_optinteger()","97"
"luaL_optinteger","141a18140","thunk undefined luaL_optinteger()","5"
"luaL_optlstring","14c9aac90","undefined luaL_optlstring()","115"
"luaL_optlstring","141a181b0","thunk undefined luaL_optlstring()","5"
"luaL_prepbuffer","14c9ab0c0","undefined luaL_prepbuffer()","80"
"luaL_prepbuffer","141a182a0","thunk undefined luaL_prepbuffer()","5"
"luaL_pushresult","14c9ab8b0","undefined luaL_pushresult()","77"
"luaL_pushresult","141a18300","thunk undefined luaL_pushresult()","5"
"luaL_typerror","141a185d0","undefined luaL_typerror()","100"
"luaL_where","14c9ac500","undefined luaL_where()","138"
"luaL_where","141a18500","thunk undefined luaL_where()","5"
"luaM_realloc_","14caa48e0","undefined luaM_realloc_()","110"
"luaM_realloc_","141a27790","thunk undefined luaM_realloc_()","5"
"luaM_toobig","14caa4da0","undefined luaM_toobig()","23"
"luaM_toobig","141a27800","thunk undefined luaM_toobig()","5"
"luaO_pushfstring","14ca95660","undefined luaO_pushfstring()","34"
"luaO_pushfstring","141a1fdb0","thunk undefined luaO_pushfstring()","5"
"luaO_pushvfstring","141a1fde0","undefined luaO_pushvfstring()","801"
"luaO_rawequalObj","14ca958b0","undefined luaO_rawequalObj()","96"
"luaO_rawequalObj","141a20170","thunk undefined luaO_rawequalObj()","5"
"luaopen_base","14caa9570","int luaopen_base(lua_State * L)","46"
"luaopen_base","141a2f5c0","thunk int luaopen_base(lua_State * L)","5"
"luaopen_bitops","14caab3f0","undefined luaopen_bitops()","197"
"luaopen_bitops","141a37820","thunk undefined luaopen_bitops()","5"
"luaopen_debug","14caaab70","undefined luaopen_debug()","33"
"luaopen_debug","141a35de0","thunk undefined luaopen_debug()","5"
"luaopen_foxmath","1400d9eb0","undefined luaopen_foxmath()","727"
"luaopen_Gimmick","14065b390","undefined luaopen_Gimmick()","1623"
"luaopen_io","14caa9bb0","undefined luaopen_io()","751"
"luaopen_io","141a314a0","thunk undefined luaopen_io()","5"
"luaopen_math","14caaa7d0","undefined luaopen_math()","151"
"luaopen_math","141a34eb0","thunk undefined luaopen_math()","5"
"luaopen_os","141a32280","undefined luaopen_os()","39"
"luaopen_package","141a368c0","undefined luaopen_package(undefined8 L)","5"
"luaopen_string","14caaa490","undefined luaopen_string()","84"
"luaopen_string","141a33700","thunk undefined luaopen_string()","5"
"luaopen_table","14caa9640","undefined luaopen_table()","33"
"luaopen_table","141a301f0","thunk undefined luaopen_table()","5"
"luaS_newlstr","14ca9ed60","undefined luaS_newlstr()","8"
"luaS_newlstr","141a23740","thunk undefined luaS_newlstr()","5"
"luaS_newudata","14ca9f610","undefined luaS_newudata()","139"
"luaS_newudata","141a23900","thunk undefined luaS_newudata()","5"
"luaT_gettmbyobj","14caa3d40","undefined luaT_gettmbyobj()","74"
"luaT_gettmbyobj","141a275f0","thunk undefined luaT_gettmbyobj()","5"
"luaV_concat","141a258d0","undefined luaV_concat()","663"
"luaV_execute","141a25cc0","undefined luaV_execute()","4999"
"luaV_gettable","14caa2a50","undefined luaV_gettable()","266"
"luaV_gettable","141a270e0","thunk undefined luaV_gettable()","5"
"luaV_lessthan","14caa2fa0","undefined luaV_lessthan()","157"
"luaV_lessthan","141a271f0","thunk undefined luaV_lessthan()","5"
"luaV_settable","141a27290","undefined luaV_settable()","347"
"luaV_tonumber","14caa3220","undefined luaV_tonumber()","85"
"luaV_tonumber","141a273f0","thunk undefined luaV_tonumber()","5"
"luaX_lexerror","14caa7690","undefined luaX_lexerror()","171"
"luaX_lexerror","141a2d220","thunk undefined luaX_lexerror()","5"
"luaX_next","14caa8990","undefined luaX_next()","70"
"luaX_next","141a2d370","thunk undefined luaX_next()","5"
"luaX_syntaxerror","141a2d460","undefined luaX_syntaxerror()","9"
"luaX_token2str","14caa9120","undefined luaX_token2str()","98"
"luaX_token2str","141a2d470","thunk undefined luaX_token2str()","5"
"OpenLua","1431c5fc0","undefined OpenLua()","233"
"OpenLua","14006a560","thunk undefined OpenLua()","5"
"StrCode64","14c96c490","undefined StrCode64()","149"
"StrCode64","141a09e10","thunk undefined StrCode64()","5"
"UpdateFOVLerp","141116890","undefined UpdateFOVLerp()","13627"
